season,gw,code,pos,minutes,xG,xA,dc,saves,goals,assists,total_points,clean_sheet,bonus,yellow,opp,home
2026-27,1,17761,DEF,90,0.05,0.0,9,0,0,0,6,1,0,0,CRY,True
2026-27,1,21205,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,HUL,False
2026-27,1,40383,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,MCI,False
2026-27,1,49262,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,AVL,True
2026-27,1,50093,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,SUN,True
2026-27,1,50175,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0,FUL,False
2026-27,1,54469,DEF,90,0.0,0.0,5,0,0,0,1,0,0,0,MCI,False
2026-27,1,56979,MID,0,0.0,0.0,0,0,0,0,0,0,0,0,FUL,False
2026-27,1,59735,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,HUL,False
2026-27,1,60307,MID,90,0.0,0.27,5,0,0,0,2,1,0,1,AVL,True
2026-27,1,60689,FWD,28,0.12,0.01,1,0,0,0,1,0,0,0,LEE,True
2026-27,1,67089,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,BRE,False
2026-27,1,72147,GK,90,0.0,0.0,0,3,0,0,1,0,0,0,BHA,False
2026-27,1,75115,FWD,7,0.03,0.04,0,0,0,0,1,0,0,0,TOT,True
2026-27,1,76357,MID,0,0.0,0.0,0,0,0,0,0,0,0,0,CHE,True
2026-27,1,78916,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,LIV,True
2026-27,1,80178,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,ARS,False
2026-27,1,80201,GK,90,0.0,0.0,0,3,0,0,2,0,0,0,CHE,True
2026-27,1,81441,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,LIV,True
2026-27,1,83299,DEF,90,0.0,0.04,2,0,0,0,6,1,0,0,AVL,True
2026-27,1,84450,MID,90,0.0,0.09,13,0,0,1,9,0,2,0,IPS,False
2026-27,1,85633,GK,90,0.0,0.0,0,2,0,0,2,0,0,0,LEE,True
2026-27,1,86873,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,CHE,True
2026-27,1,88894,MID,73,0.1,0.02,1,0,0,0,2,0,0,0,BHA,False
2026-27,1,91651,MID,27,0.0,0.01,2,0,0,0,1,0,0,0,BOU,True
2026-27,1,93605,DEF,90,0.08,0.08,4,0,0,0,1,0,0,0,IPS,False
2026-27,1,95658,DEF,90,0.04,0.4,4,0,0,0,1,0,0,0,HUL,False
2026-27,1,97032,DEF,90,0.25,0.01,11,0,0,0,2,0,0,1,NEW,False
2026-27,1,98747,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,LIV,True
2026-27,1,98980,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,FUL,False
2026-27,1,101188,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,BHA,False
2026-27,1,101282,MID,90,0.0,0.0,9,0,0,0,2,1,0,1,MUN,True
2026-27,1,105666,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,MUN,True
2026-27,1,105717,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,IPS,False
2026-27,1,106611,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,CRY,True
2026-27,1,106760,DEF,90,0.0,0.26,4,0,0,0,1,0,0,0,HUL,False
2026-27,1,106921,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,BOU,True
2026-27,1,108413,MID,0,0.0,0.0,0,0,0,0,0,0,0,0,EVE,False
2026-27,1,108416,DEF,90,0.0,0.0,21,0,0,0,8,1,0,0,MUN,True
2026-27,1,108813,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,SUN,True
2026-27,1,109646,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,FUL,False
2026-27,1,109745,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,COV,True
2026-27,1,110690,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,ARS,False
2026-27,1,111234,GK,90,0.0,0.02,0,4,0,0,7,1,0,0,CRY,True
2026-27,1,111317,MID,0,0.0,0.0,0,0,0,0,0,0,0,0,MCI,False
2026-27,1,112520,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,SUN,True
2026-27,1,114243,MID,14,0.0,0.0,2,0,0,0,0,0,0,1,LIV,True
2026-27,1,114283,MID,8,0.0,0.0,1,0,0,0,1,0,0,0,BOU,True
2026-27,1,115556,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,BRE,False
2026-27,1,116535,GK,90,0.0,0.0,0,3,0,0,2,0,0,0,NEW,False
2026-27,1,119471,DEF,1,0.0,0.0,0,0,0,0,1,0,0,0,LIV,True
2026-27,1,121709,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,EVE,False
2026-27,1,122074,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,BOU,True
2026-27,1,122798,DEF,90,0.0,0.06,11,0,0,0,3,0,0,0,BRE,False
2026-27,1,122806,MID,81,0.04,0.01,6,0,0,0,1,0,0,1,BHA,False
2026-27,1,128295,MID,0,0.0,0.0,0,0,0,0,0,0,0,0,CRY,True
2026-27,1,135720,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0,BRE,False
2026-27,1,138001,GK,0,0.0,0.0,0,0,0,0,0,0,0,0,CRY,True
2026-27,1,141746,MID,90,0.08,0.26,6,0,0,0,2,0,0,0,HUL,False
